,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
1959,Kepler-59,,,TIC 158393923,c,Kepler,1,2,Transit,2012,17.9801235,0.1372,1.98,4.58,3.24,0.0,107.74,752.0,88.06,0.961,,,6074.0,0.94,1.04,0.02,0.324,4.51,0.26,0.56653,,1163.22,287.0394932,46.6401677
1960,Kepler-591,,,TIC 405686888,b,Kepler,1,1,Transit,2016,81.1694299,0.3554,3.39,11.4,1.61,0.0,5.62,436.0,88.79,0.5484,,,5677.0,0.94,0.97,0.01,-0.078,4.48,4.17,1.00312,,785.137,286.024052,48.431729
1961,Kepler-812,,,TIC 299033074,b,Kepler,1,1,Transit,2016,10.11716531,0.1024,3.55,12.3,1.51,0.0,421.92,1163.0,88.95,0.848,,,6761.0,1.71,1.45,0.02,0.752,4.13,1.66,0.77147,,1482.74,288.8552821,48.208517
1962,Kepler-651,,,TIC 158415898,b,Kepler,1,1,Transit,2016,21.38521506,0.1409,2.37,6.21,2.56,0.0,27.22,574.0,89.16,0.518,,,5522.0,0.87,0.92,-0.04,-0.253,4.53,3.55,1.82855,,509.408,287.3327284,46.2034366
1963,Kepler-790,,,TIC 121020728,b,Kepler,1,1,Transit,2016,13.73469807,0.101,2.18,5.39,2.86,0.0,38.27,634.0,86.64,0.0596,,,5208.0,0.8,0.84,-0.05,-0.424,4.56,4.9,9.48847,,703.168,286.9171489,38.8722123
1964,Kepler-615,,,TIC 123492903,b,Kepler,1,1,Transit,2016,10.35584657,0.085,1.74,3.68,3.84,0.0,19.18,620.0,89.64,0.921,,,4655.0,0.69,0.73,-0.07,-0.695,4.62,3.72,3.99937,,330.0,282.4506927,46.3213671
1965,Kepler-793,,,TIC 139036121,b,Kepler,1,1,Transit,2016,4.24153639,0.0491,1.37,2.45,5.24,0.0,617.41,1177.0,88.62,0.257,,,5745.0,0.97,0.98,0.0,0.11,4.46,4.27,0.95862,,985.699,295.2167334,38.7744269
1966,Kepler-794,,,TIC 121467823,b,Kepler,1,1,Transit,2016,11.13125132,0.1036,2.11,5.1,2.98,0.0,299.97,952.0,89.97,0.67,,,5839.0,1.38,1.19,0.34,0.506,4.23,4.07,1.28479,,931.192,288.1336793,38.9968923
1967,Kepler-802,,,TIC 158114000,b,Kepler,1,1,Transit,2016,40.0587473,0.2265,3.54,12.3,1.52,0.0,13.51,489.0,88.65,0.952,,,5507.0,0.9,0.93,0.06,-0.226,4.5,4.68,0.49325,,780.585,286.0157998,45.0077413
1968,Kepler-825,,,TIC 378086008,b,Kepler,1,2,Transit,2016,3.77360059,0.0453,1.53,2.96,4.54,0.0,734.46,1270.0,90.0,0.25,,,5976.0,1.08,1.03,-0.08,0.12,4.39,3.55,1.63287,,807.85,294.769825,39.3984081
1969,Kepler-284,,,TIC 275486985,c,Kepler,1,2,Transit,2014,37.514456,0.213,2.61,7.32,2.26,0.0,9.04,478.0,89.6,0.62,,,5615.0,0.81,0.92,0.14,-0.341,4.58,0.5,1.88082,,1031.95,293.1465698,47.7297053
1970,Kepler-679,,,TIC 27766596,b,Kepler,1,1,Transit,2016,12.39358604,0.0983,3.01,9.32,1.88,0.0,56.0,677.0,86.13,0.8214,,,5403.0,0.84,0.87,-0.09,-0.348,4.54,4.47,0.49933,,922.244,296.0213374,50.5678019
1971,Kepler-777,,,TIC 123497954,b,Kepler,1,1,Transit,2016,5.72812599,0.0519,1.47,2.76,4.77,0.0,33.95,569.0,89.42,0.0557,,,4043.0,0.56,0.58,-0.17,-0.968,4.71,3.16,5.77301,,443.106,282.7241098,44.3465098
1972,Kepler-611,,,TIC 158113449,b,Kepler,1,1,Transit,2016,2.4370333,0.0351,1.65,3.36,4.11,0.0,1825.3,1513.0,89.87,0.745,,,5761.0,1.01,1.01,0.06,0.383,4.43,4.47,0.66343,,1395.56,286.0049121,45.4803043
1973,Kepler-637,,,TIC 137626872,b,Kepler,1,1,Transit,2016,23.20584623,0.1867,4.75,20.2,1.04,0.0,63.8,1002.0,89.92,0.059,,,6096.0,2.56,1.64,0.38,0.382,3.84,2.19,0.60424,,786.091,292.4172566,41.4168384
1974,Kepler-639,,,TIC 137409501,b,Kepler,1,1,Transit,2016,10.21420496,0.0966,2.38,6.26,2.55,0.0,295.83,957.0,89.93,0.8859,,,5896.0,1.29,1.14,0.23,0.483,4.27,4.37,0.28471,,850.242,292.1868271,41.726944
1975,Kepler-760,,,TIC 158494681,b,Kepler,1,2,Transit,2016,8.70419416,0.0772,3.06,9.59,1.84,0.0,84.41,748.0,88.6,0.5,,,5322.0,0.85,0.89,0.08,-0.28,4.54,4.57,2.12083,,792.336,287.5931997,44.1794278
1976,Kepler-814,,,TIC 48450382,b,Kepler,1,1,Transit,2016,6.1469851,0.0695,2.12,5.14,2.96,0.0,935.12,1164.0,89.67,0.083,,,6162.0,1.22,1.15,0.01,0.669,4.33,3.02,1.47416,,2055.77,284.9105256,48.4315896
1977,Kepler-605,,,TIC 158423850,c,Kepler,1,2,Transit,2016,2.35895152,0.033,0.86,0.566,4.89,0.0,513.03,1278.0,87.91,0.385,,,5462.0,0.88,0.91,0.02,-0.248,4.52,4.47,4.01115,,556.58,287.2954015,43.2798677
1978,Kepler-805,,,TIC 275573748,b,Kepler,1,1,Transit,2016,30.8638931,0.1978,2.89,8.7,1.98,0.0,86.47,743.0,85.76,0.0312,,,6112.0,1.65,1.19,-0.06,0.541,4.08,4.27,0.34859,,638.49,293.2300178,45.053364
1979,Kepler-731,,,TIC 272366748,b,Kepler,1,1,Transit,2016,3.85560355,0.0505,13.88,,,0.0,456.7,1212.0,87.96,0.0007,,,5849.0,1.06,1.03,0.04,0.035,4.41,3.8,1.3908,,1257.16,296.3931945,45.568533
1980,Kepler-712,,,TIC 271347119,b,Kepler,1,2,Transit,2016,21.02247699,0.1378,3.41,11.5,1.59,0.0,15.8,521.0,89.95,0.76,,,5148.0,0.78,0.84,-0.03,-0.484,4.58,3.31,2.85327,,872.493,294.9096739,42.9351987
1981,Kepler-722,,,TIC 159304532,b,Kepler,1,2,Transit,2016,4.09357325,0.0514,2.63,7.41,2.24,0.0,414.6,1182.0,79.95,0.1554,,,5863.0,1.05,1.03,0.02,-0.039,4.41,4.37,2.9936,,1239.5,290.2632874,44.5564051
1982,Kepler-680,,,TIC 26473621,b,Kepler,1,1,Transit,2016,3.68992629,0.0469,2.42,6.44,2.5,0.0,706.62,1147.0,89.19,0.1166,,,5890.0,1.11,1.08,0.13,0.197,4.38,3.72,1.70798,,1492.48,291.622381,50.6181793
1983,Kepler-85,,,TIC 159580705,e,Kepler,1,4,Transit,2014,25.216751,0.163,1.27,0.6,1.6,0.0,24.32,559.0,88.74,0.2,,,5436.0,0.89,0.92,0.0,-0.212,4.49,4.37,2.34641,,765.025,290.9734395,45.2902761
1984,Kepler-1811,,,TIC 122294261,b,Kepler,1,1,Transit,2021,76.42230225,0.3462,3.848,14.1,1.36,0.0,10.11,455.0,89.99,0.912,,,5561.0,1.19,0.95,0.16,0.154,4.26,0.4,1.82753,,1390.56,289.9793241,40.1427848
1985,Kepler-618,,,TIC 405719849,b,Kepler,1,1,Transit,2016,3.59576964,0.046,2.6,7.27,2.27,0.0,677.57,1296.0,86.34,0.911,,,5860.0,1.08,1.05,0.08,0.173,4.39,4.27,0.68651,,1221.96,286.2498525,48.0609256
1986,Kepler-769,,,TIC 137815803,c,Kepler,1,2,Transit,2016,15.9870174,0.1297,1.79,3.86,3.7,0.0,86.76,803.0,88.79,0.63,,,6186.0,1.28,1.19,0.06,0.179,4.3,2.88,1.50391,,1169.57,292.7130925,38.3581685
1987,Kepler-277,,,TIC 120961424,c,Kepler,1,2,Transit,2013,33.006,0.2129,3.36,64.2,9.3,0.0,83.9,778.0,89.33,0.947,,,5946.0,1.69,1.12,0.1,0.568,4.03,5.0,0.24777,,976.643,286.5831894,39.0772582
1988,Kepler-712,,,TIC 271347119,c,Kepler,1,2,Transit,2016,226.89047,0.6732,4.85,21.0,1.01,0.0,0.66,236.0,89.76,0.85,,,5148.0,0.78,0.84,-0.03,-0.484,4.58,3.31,2.02177,,872.493,294.9096739,42.9351987
1989,Kepler-887,,,TIC 122293639,b,Kepler,1,2,Transit,2016,20.42228798,0.1536,1.84,4.04,3.56,0.0,109.84,785.0,89.87,0.646,,,6194.0,1.29,1.19,0.08,0.446,4.29,3.09,0.73981,,886.588,290.0907893,39.8169085
1990,Kepler-701,,,TIC 121795464,b,Kepler,1,1,Transit,2016,10.35533177,0.0895,2.84,8.45,2.03,0.0,75.62,777.0,89.93,0.029,,,5343.0,0.84,0.88,0.0,-0.276,4.54,4.47,2.92779,,774.152,288.99418,41.6333125
1991,Kepler-740,,,TIC 158270511,b,Kepler,1,1,Transit,2016,3.58410122,0.0462,4.57,18.9,1.09,0.0,432.87,1131.0,89.76,0.66,,,5438.0,0.87,0.91,0.03,-0.123,4.52,4.79,1.68147,,1442.02,286.4822566,46.692456
1992,Kepler-696,,,TIC 138219428,b,Kepler,1,1,Transit,2016,4.19042557,0.0535,6.14,31.3,0.743,0.0,607.52,1234.0,87.52,0.689,,,5903.0,1.08,1.06,0.07,0.151,4.39,3.98,1.69443,,1416.44,293.4965906,41.1375635
1993,BD+14 4559,,HIP 104780,TIC 230183006,b,McDonald Observatory,1,1,Radial Velocity,2009,268.94,0.78,13.8,330.5432,0.691,0.29,,,,,55.2,K2 V,4864.0,0.86,0.49,0.17,-0.32,4.26,,1.73113,,49.352,318.4010002,14.6893834
1994,Kepler-653,,,TIC 123445166,c,Kepler,1,2,Transit,2016,0.90037648,0.0186,0.78,0.399,4.62,0.0,3743.28,2078.0,89.04,0.75,,,5665.0,1.19,1.02,0.23,0.119,4.29,7.76,0.68801,,595.634,282.2130447,46.7177898
1995,Kepler-656,,,TIC 158731243,b,Kepler,1,1,Transit,2016,1.26025909,0.0232,3.12,9.91,1.79,0.0,924.37,1569.0,77.17,0.791,,,5281.0,0.82,0.86,-0.04,-0.299,4.56,4.37,0.53763,,890.352,288.3278778,47.381538
1996,Kepler-66,,,TIC 270790035,b,Kepler,1,1,Transit,2013,17.815815,0.1352,2.8,8.25,2.07,0.0,62.84,699.0,87.08,0.56,,G0 V,5962.0,0.97,1.04,-0.2,0.051,4.48,1.0,1.62,,1202.96,293.9815378,46.687728
1997,Kepler-682,,,TIC 299161524,b,Kepler,1,1,Transit,2016,12.61190667,0.1058,7.37,42.6,0.585,0.0,306.1,753.0,88.17,0.5409,,,5559.0,0.89,0.92,-0.05,0.48,4.51,3.98,0.62438,,1979.25,289.1122204,51.7373589
1998,Kepler-815,,,TIC 48505882,b,Kepler,1,1,Transit,2016,8.57503552,0.0888,4.11,15.8,1.25,0.0,979.14,1374.0,89.03,0.351,,,5028.0,3.42,1.25,-0.03,0.857,3.46,4.9,0.12089,,1259.28,285.2211238,47.8813037
1999,Kepler-82,,,TIC 63372898,c,Kepler,1,5,Transit,2012,51.54,0.2626,5.34,13.9,0.494,0.007,8.04,450.0,90.15,0.0291,,,5529.0,0.9,0.91,0.211,-0.185,4.49,4.68,1.77,,904.326,292.8733696,42.9661583
2000,Kepler-834,,,TIC 158392088,b,Kepler,1,1,Transit,2016,13.32388301,0.0862,2.02,4.74,3.16,0.0,11.85,378.0,89.87,0.073,,,4554.0,0.66,0.7,-0.13,-0.745,4.64,2.69,3.60222,,633.937,287.0544674,45.1803351
2001,Kepler-907,,,TIC 120576846,b,Kepler,1,1,Transit,2016,15.86621821,0.1225,1.2,1.87,5.95,0.0,137.66,879.0,86.77,0.872,,,6106.0,1.38,1.08,-0.15,0.378,4.19,5.37,1.90798,,352.0,285.4764959,41.6326615
2002,Kepler-850,,,TIC 26751527,b,Kepler,1,1,Transit,2016,7.19303878,0.0744,1.78,3.82,3.72,0.0,329.28,995.0,89.94,0.0294,,,5932.0,1.09,1.06,0.03,0.173,4.39,3.89,1.60453,,1661.28,293.0844515,48.5753645
2003,Kepler-930,,,TIC 274031725,b,Kepler,1,1,Transit,2016,71.4517775,0.3475,2.13,5.18,2.95,0.0,16.85,561.0,89.99,0.0884,,,6335.0,1.4,1.25,0.04,0.378,4.24,2.34,2.53706,,848.396,298.3144494,42.2473698
2004,Kepler-978,,,TIC 158317637,b,Kepler,1,1,Transit,2016,49.6221509,0.2726,2.99,9.22,1.9,0.0,20.99,546.0,87.52,0.67,,,6002.0,1.09,1.07,-0.01,0.143,4.38,3.63,0.09556,,682.522,286.7107166,43.0433585
2005,Kepler-979,,,TIC 239285770,b,Kepler,1,1,Transit,2016,8.0880135,0.0753,2.72,7.85,2.14,0.0,77.84,792.0,88.23,0.5932,,,5310.0,0.83,0.87,-0.02,-0.32,4.54,4.57,7.27802,,576.503,300.3712023,46.4081872
2006,KOI-7892,,,TIC 123449386,c,Kepler,1,3,Transit,2015,75.2,,2.4,6.35,2.52,,,,89.701,,,,6474.0,1.26,1.04,-0.16,0.265,4.31,,0.31886,,1072.3,282.3775397,44.694569
2007,Kepler-1686,,,TIC 63005636,b,Kepler,1,1,Transit,2020,9.30987,0.0866,1.426,2.62,4.97,0.0,164.38,913.0,88.19,0.04,,,5714.96,1.2,1.02,0.077,0.141,4.29,0.4,0.83322,,729.823,291.6067189,42.0359783
2008,Kepler-963,,,TIC 272605867,b,Kepler,1,1,Transit,2016,9.97683705,0.0849,2.66,7.56,2.21,0.0,83.49,802.0,89.94,0.899,,,5461.0,0.87,0.91,-0.02,-0.225,4.52,4.07,2.2596,,771.494,296.7529742,45.0411049
2009,Kepler-752,,,TIC 137548225,b,Kepler,1,1,Transit,2016,18.82747265,0.1353,2.81,8.3,2.06,0.0,45.28,632.0,89.96,0.025,,,5373.0,0.83,0.87,-0.08,-0.125,4.54,4.07,1.61544,,1232.29,292.2681469,37.955672
2010,Kepler-755,,,TIC 239227652,b,Kepler,2,2,Transit,2016,1.26909037,0.0214,1.76,3.75,3.78,0.0,889.89,1331.0,86.18,0.6,,,5043.0,0.77,0.82,-0.01,-0.457,4.58,4.9,2.78725,,399.034,296.8609348,41.0973178
2011,Kepler-774,,,TIC 122780849,b,Kepler,1,1,Transit,2016,11.0895723,0.1114,3.17,10.2,1.76,0.0,451.18,1422.0,89.92,0.768,,,6403.0,2.42,1.57,0.04,0.753,3.87,2.14,0.38065,,917.804,291.0318604,38.211894
2012,Kepler-808,,,TIC 26417717,b,Kepler,1,1,Transit,2016,0.63133235,0.0116,1.46,2.73,4.82,0.0,726.72,1322.0,76.59,0.12,,,4653.0,0.71,0.76,0.05,-0.684,4.62,1.95,4.17487,,321.0,291.5941514,48.4454907
2013,Kepler-748,,,TIC 137545963,b,Kepler,1,1,Transit,2016,7.40742793,0.0745,2.52,6.9,2.37,0.0,439.78,938.0,89.89,0.042,,,5934.0,1.1,1.07,0.08,0.36,4.38,3.72,1.44884,,1705.99,292.2628779,37.2369732
2014,Kepler-772,,,TIC 137150277,b,Kepler,1,1,Transit,2016,12.99207337,0.1071,1.82,3.97,3.62,0.0,264.58,866.0,89.69,0.74,,,5714.0,1.11,0.98,0.03,0.475,4.33,8.13,0.5355,,1130.21,291.423582,38.2165603
2015,Kepler-776,,,TIC 121114760,b,Kepler,1,1,Transit,2016,4.89718784,0.0523,1.28,2.18,5.71,0.0,135.08,904.0,87.63,0.1207,,,5071.0,0.78,0.83,0.05,-0.437,4.58,4.37,7.27284,,727.904,287.2726117,41.6356009
2016,Kepler-795,,,TIC 122684233,b,Kepler,2,1,Transit,2016,29.6193421,0.1817,1.68,3.46,4.01,0.0,26.79,580.0,89.94,0.902,,,5631.0,0.96,0.94,-0.02,-0.022,4.45,6.46,1.24741,,492.122,291.0189951,38.5455728
2017,Kepler-804,,,TIC 275573295,c,Kepler,1,2,Transit,2016,9.65185017,0.0872,1.14,1.55,5.75,0.0,141.84,890.0,89.59,0.122,,,5817.0,1.05,1.01,0.0,0.05,4.4,5.25,1.03417,,649.65,293.3722109,44.7851812
2018,Kepler-967,,,TIC 120962548,c,Kepler,1,2,Transit,2016,198.7112502,0.6253,3.65,12.9,1.46,0.0,1.05,258.0,89.99,0.0803,,,5178.0,0.8,0.84,-0.03,-0.718,4.56,5.89,2.92892,,568.546,286.5580128,38.4052418
2019,Kepler-968,,,TIC 350814607,c,Kepler,1,3,Transit,2016,5.70940492,0.052,1.69,3.5,3.98,0.0,58.15,644.0,87.7,0.2106,,,4598.0,0.7,0.76,0.13,-0.763,4.63,2.14,12.30954,,290.324,285.6025889,50.1120401
2020,Kepler-734,,,TIC 272845785,b,Kepler,1,1,Transit,2016,6.10485286,0.0583,3.56,12.4,1.51,0.0,89.25,784.0,89.78,0.018,,,5326.0,0.78,0.85,-0.17,0.374,4.59,2.34,0.57209,,1157.21,297.0456122,46.0273893
2021,Kepler-750,,,TIC 158931258,b,Kepler,1,2,Transit,2016,9.42887179,0.093,3.07,9.64,1.83,0.0,255.74,1163.0,89.96,0.011,,,6160.0,1.23,1.15,0.03,0.344,4.32,3.09,0.9652,,1296.02,289.0968274,44.004364
2022,Kepler-750,,,TIC 158931258,c,Kepler,1,2,Transit,2016,4.08899022,0.0533,1.62,3.26,4.21,0.0,778.59,1537.0,87.39,0.374,,,6160.0,1.23,1.15,0.03,0.344,4.32,3.09,0.627,,1296.02,289.0968274,44.004364
2023,Kepler-757,,,TIC 360022783,b,Kepler,1,1,Transit,2016,1.02267882,0.019,1.36,2.42,5.29,0.0,3345.45,1734.0,89.81,0.6,,,6014.0,1.13,1.08,0.02,0.16,4.37,3.31,3.5012,,1068.68,296.6804876,41.3865279
2024,Kepler-761,,,TIC 159442087,b,Kepler,1,1,Transit,2016,10.12804789,0.0874,2.03,4.78,3.14,0.0,95.45,767.0,87.16,0.882,,,5706.0,0.93,0.95,-0.09,-0.117,4.48,4.07,2.35867,,830.707,290.503599,44.1436249
2025,Kepler-763,,,TIC 63130782,b,Kepler,1,1,Transit,2016,1.19655156,0.0205,1.22,1.98,5.99,0.0,974.09,1414.0,87.27,0.2353,,,5166.0,0.8,0.84,0.01,-0.334,4.57,4.79,4.49591,,962.459,292.1445534,47.1573604
2026,NGC 2682 YBP 1194,,,TIC 437034946,b,Multiple Observatories,1,1,Radial Velocity,2014,6.959,,12.3,101.7056,0.3,0.3,,,,,35.8,G5 V,5780.0,0.99,1.01,0.023,-0.011,4.44,4.15,1.43409,,872.92,132.7533077,11.8146537
2027,Kepler-869,,,TIC 299218299,b,Kepler,1,1,Transit,2016,40.4287755,0.2244,3.61,12.7,1.48,0.0,17.23,494.0,87.92,0.89,,,5664.0,0.95,0.97,0.02,-0.11,4.47,4.79,0.08921,,939.455,289.4245955,50.9941198
2028,Kepler-81,,,TIC 270611154,b,Kepler,1,3,Transit,2012,5.955,0.0522,2.42,17.2,6.67,0.0,39.95,635.0,89.0,0.81,,M0 V,4385.0,0.59,0.64,-0.18,-0.889,4.7,3.63,4.19265,,348.291,293.6369437,42.8248275
2029,Kepler-877,,,TIC 159175206,b,Kepler,1,1,Transit,2016,18.45847097,0.1301,2.12,5.14,2.96,0.0,37.81,632.0,88.09,0.7896,,,5261.0,0.81,0.85,-0.06,-0.343,4.56,4.57,1.19692,,602.176,289.8591023,46.5227429
2030,Kepler-932,,,TIC 272715773,b,Kepler,1,1,Transit,2016,1.9214374,0.0279,1.37,2.45,5.24,0.0,562.22,1276.0,74.86,0.45,,,5331.0,0.84,0.87,-0.01,-0.322,4.54,4.68,2.88,,465.612,296.9520797,43.2720233
2031,Kepler-854,,,TIC 275570329,b,Kepler,1,1,Transit,2016,2.14463285,0.0334,16.72,42000.0,49.4,0.0,7282.96,1736.0,56.9,0.7159,,,6179.0,1.27,1.17,0.04,0.832,4.29,3.02,0.04677,,1397.04,293.351268,43.1346404
2032,Kepler-779,,,TIC 352012126,b,Kepler,2,1,Transit,2016,7.09714223,0.0533,0.92,0.721,5.09,0.0,15.03,425.0,89.89,0.05,,,3804.0,0.44,0.46,-0.43,-1.234,4.81,3.89,4.62877,,283.155,285.6285208,44.3107855
2033,Kepler-878,,,TIC 164892142,b,Kepler,1,1,Transit,2016,25.9422033,0.165,1.93,4.38,3.35,0.0,27.01,501.0,89.2,0.1281,,,5044.0,0.77,0.81,-0.03,-0.174,4.58,4.57,3.45421,,791.625,285.2962562,46.6034497
2034,Kepler-855,,,TIC 271431851,b,Kepler,1,1,Transit,2016,7.8866311,0.0762,8.35,52.7,0.497,0.0,405.18,996.0,89.78,0.001,,,5835.0,1.03,1.03,0.06,0.333,4.42,4.17,0.58262,,1506.58,295.0949565,43.537565
2035,Kepler-92,,,TIC 121943724,d,Kepler,1,3,Transit,2015,49.3568,0.2754,2.067,4.93,3.07,0.07,46.84,637.0,89.53,0.677,,,5904.34,1.82,1.07,0.138,0.558,3.95,5.2,0.25139,,477.992,289.0860607,41.5630224
2036,Kepler-824,,,TIC 122447994,b,Kepler,1,1,Transit,2016,4.51436633,0.055,1.87,4.16,3.5,0.0,454.6,1231.0,89.42,0.118,,,6035.0,1.22,1.15,0.14,0.122,4.32,3.31,1.43366,,1201.4,290.477406,39.7319975
2037,Kepler-879,,,TIC 27639443,b,Kepler,1,1,Transit,2016,33.3855938,0.2012,2.57,7.13,2.31,0.0,29.13,580.0,89.26,0.562,,,5792.0,1.02,1.02,0.05,0.033,4.42,4.27,1.37423,,802.672,295.8065515,50.9097521
2038,Kepler-856,,,TIC 159054620,b,Kepler,1,1,Transit,2016,8.02768059,0.0787,9.3,63.3,0.432,0.0,153.5,824.0,88.52,0.5635,,,5535.0,0.93,0.96,0.12,-0.022,4.49,4.27,1.79327,,1351.17,289.6038379,46.3149097
2039,Kepler-818,,,TIC 184417625,b,Kepler,1,1,Transit,2016,10.03538581,0.0886,5.11,22.9,0.943,0.0,100.78,786.0,89.81,0.0282,,,5638.0,0.92,0.94,-0.08,-0.124,4.49,3.98,2.45874,,925.037,296.2351072,39.3702865
2040,Kepler-914,,,TIC 159386728,b,Kepler,1,1,Transit,2016,4.40966548,0.0544,1.38,2.48,5.19,0.0,568.38,1192.0,85.07,0.0419,,,5877.0,1.15,1.1,0.22,0.245,4.36,3.98,4.10271,,753.723,290.4120774,44.8993227
2041,Kepler-857,,,TIC 271158887,b,Kepler,1,1,Transit,2016,85.35129427,0.3751,6.8,37.2,0.65,0.0,5.75,390.0,89.97,0.684,,,5773.0,0.99,0.99,0.02,-0.071,4.45,4.27,2.7636,,983.502,294.6323978,43.4004526
2042,Kepler-851,,,TIC 27235573,b,Kepler,1,1,Transit,2016,8.50699658,0.0802,1.68,3.46,4.01,0.0,103.83,900.0,86.53,0.8031,,,5455.0,0.85,0.89,-0.07,-0.273,4.53,4.47,0.63776,,839.255,294.6802199,49.1401106
2043,Kepler-807,,,TIC 299156353,b,Kepler,1,1,Transit,2016,117.93108781,0.4884,10.42,76.8,0.373,0.0,7.45,418.0,89.74,0.615,,,5965.0,1.06,1.04,-0.04,0.228,4.41,3.72,3.54676,,1492.95,289.0201356,48.1197839
2044,Kepler-826,,,TIC 120355363,b,Kepler,1,1,Transit,2016,4.48758907,0.0528,1.25,2.1,5.91,0.0,827.22,1305.0,87.03,0.54,,,6079.0,1.15,1.05,-0.12,0.349,4.34,4.37,0.73118,,779.596,284.8601128,39.2405076
2045,Kepler-927,,,TIC 122066280,b,Kepler,1,1,Transit,2016,9.1149903,0.0866,1.72,3.61,3.9,0.0,129.53,906.0,86.67,0.0189,,,5743.0,0.99,0.99,0.03,-0.086,4.45,4.37,0.89453,,831.685,289.3834807,41.3926651
2046,Kepler-862,,,TIC 273379660,b,Kepler,1,1,Transit,2016,3.14866453,0.039,2.21,5.52,2.81,0.0,547.29,1097.0,85.68,0.652,,,5333.0,0.84,0.88,0.04,-0.103,4.54,4.79,1.23727,,1039.03,297.7792466,46.4926688
2047,OGLE-2008-BLG-092L,,,,b,OGLE,2,1,Microlensing,2014,,15.0,8.74,57.0,0.469,,,,,,,,,,0.71,,,,,,,8100.0,267.540708,-34.6731944
2048,Kepler-836,,,TIC 158486560,b,Kepler,1,1,Transit,2016,11.36112327,0.1013,2.73,7.9,2.13,0.0,135.8,869.0,87.16,0.854,,,5895.0,1.04,1.03,-0.01,0.049,4.41,4.27,0.47666,,980.035,287.4527659,45.7043964
2049,Kepler-860,,,TIC 271774166,b,Kepler,1,1,Transit,2016,5.10137945,0.058,3.24,10.6,1.71,0.0,233.62,1050.0,89.9,0.027,,,5836.0,1.06,1.04,0.09,-0.157,4.4,4.27,2.67226,,1056.36,295.5772681,46.2547028
2050,Kepler-873,,,TIC 27843860,b,Kepler,1,1,Transit,2016,20.5533844,0.1542,3.75,13.5,1.41,0.0,68.02,749.0,87.62,0.68,,,6163.0,1.27,1.18,0.07,0.134,4.29,2.95,0.31624,,1182.22,296.4031319,51.2712773
2051,Kepler-874,,,TIC 271347296,b,Kepler,1,1,Transit,2016,40.0686727,0.2234,3.94,14.7,1.32,0.0,31.62,560.0,89.97,0.0192,,,6020.0,1.13,1.09,0.03,0.138,4.37,3.31,1.80017,,1082.16,294.9568477,43.0142991
2052,Kepler-936,,,TIC 270619059,b,Kepler,1,1,Transit,2016,10.56134221,0.0954,1.45,2.7,4.87,0.0,133.56,867.0,83.33,0.0708,,,5482.0,0.89,0.92,0.05,-0.19,4.51,4.57,4.40297,,823.399,293.5777958,46.7362953
2053,Kepler-863,,,TIC 273500946,b,Kepler,1,1,Transit,2016,15.59461874,0.122,2.9,8.75,1.97,0.0,117.83,718.0,89.35,0.6,,,5678.0,0.95,0.96,-0.03,0.215,4.46,3.8,0.99953,,1499.66,297.6644677,43.2489903
2054,Kepler-915,,,TIC 159396818,b,Kepler,1,1,Transit,2016,4.59489604,0.0566,1.5,2.86,4.66,0.0,844.75,1319.0,76.0,0.69,,,6173.0,1.38,1.21,0.08,0.506,4.24,3.39,0.44865,,849.036,290.5921293,45.7372184
2055,Kepler-949,,,TIC 268060310,b,Kepler,1,1,Transit,2016,8.6893073,0.0774,2.91,8.8,1.96,0.0,58.44,782.0,89.94,0.2037,,,5403.0,0.86,0.89,0.01,-0.442,4.53,4.57,4.35145,,486.105,298.6079128,46.45366
2056,Kepler-951,,,TIC 121395761,b,Kepler,2,1,Transit,2016,71.52530845,0.3091,5.59,26.7,0.84,0.0,2.47,340.0,89.96,0.015,,,4834.0,0.73,0.77,-0.01,-0.642,4.6,4.27,3.54555,,382.509,287.7375794,38.1146488
2057,Kepler-82,,,TIC 63372898,b,Kepler,1,5,Transit,2012,26.44,0.1683,4.07,12.15,0.98,0.0033,19.56,562.0,89.052,0.641,,,5529.0,0.9,0.91,0.211,-0.185,4.49,4.68,1.77,,904.326,292.8733696,42.9661583
2058,Kepler-867,,,TIC 399915645,b,Kepler,1,1,Transit,2016,150.242127,0.5375,4.64,19.4,1.07,0.0,2.72,327.0,89.81,0.345,,,5541.0,0.91,0.92,-0.02,0.117,4.49,5.89,0.95103,,1195.54,287.2852554,51.2499499
2059,Kepler-833,,,TIC 159397031,b,Kepler,1,1,Transit,2016,18.7546998,0.1139,2.02,4.74,3.16,0.0,8.31,382.0,89.96,0.034,,,4339.0,0.62,0.64,-0.18,-0.793,4.67,3.72,5.88599,,467.37,290.4799052,45.6005798
2060,Kepler-870,,,TIC 27455225,b,Kepler,1,1,Transit,2016,21.3587621,0.1539,2.78,8.15,2.08,0.0,54.87,691.0,89.81,0.847,,,5857.0,1.02,1.01,-0.01,0.043,4.43,3.8,0.85776,,1259.46,295.4025625,50.4785992
